Title,Series,Universal Link,Amazon Link,ASIN,Bookfunnel Link,Bookbub Link,Goodreads Link,Booksprout Link
"FATED, SHE FLIES",A Never After Tale,https://books2read.com/u/mv5WEq,https://www.amazon.com/dp/B081D9WTKD,B081D9WTKD,,https://www.bookbub.com/books/fated-she-flies-a-never-after-tale-by-brea-viragh-and-never-after,https://www.goodreads.com/book/show/50257987-fated-she-flies,
"COURAGEOUS, SHE LOVES",A Never After Tale,https://books2read.com/u/4jAzyl,https://www.amazon.com/dp/B084WSK6K7,B084WSK6K7,https://BookHip.com/DGRXXX,https://www.bookbub.com/books/courageous-she-loves-a-never-after-tale-by-brea-viragh-and-anna-applegate,https://www.goodreads.com/book/show/52612761-courageous-she-loves,
BLUE PERSUASION,A Vienna Blue Novel,https://books2read.com/u/b55o9p,https://www.amazon.com/dp/B082RCB8K9,B082RCB8K9,https://BookHip.com/LKLQMJ,https://www.bookbub.com/books/blue-persuasion-a-vienna-blue-novella-book-1-by-brea-viragh,https://www.goodreads.com/book/show/50377037-blue-persuasion,
COLOSSAL WE COME,A Vienna Blue Novel,https://books2read.com/u/3G2rZQ,https://www.amazon.com/dp/B083D83KFP,B083D83KFP,https://BookHip.com/HKCNPN,https://www.bookbub.com/books/colossal-we-come-a-vienna-blue-novel-book-2-by-brea-viragh,https://www.goodreads.com/book/show/50377047-colossal-we-come,
UNTIL FOREVER ENDS,A Vienna Blue Novel,https://books2read.com/u/bov8gp,https://www.amazon.com/dp/B0845T3LF6,B0845T3LF6,https://dl.bookfunnel.com/bluna0vjh6,https://www.bookbub.com/books/until-forever-ends-a-vienna-blue-novel-book-3-by-brea-viragh,https://www.goodreads.com/book/show/53126492-until-forever-ends,
ROSE AND BANE,,https://books2read.com/u/bPKp5J,https://www.amazon.com/dp/B08BPJV38Q,B08BPJV38Q,,https://www.bookbub.com/books/rose-and-bane-a-dark-paranormal-beauty-and-the-beast-retelling-by-brea-viragh,https://www.goodreads.com/book/show/54324326-rose-and-bane,
FAERIE MARKED,Fae Academy for Halflings Book 1,www.books2read.com/FaerieMarked,https://www.amazon.com/dp/B08C6H1GS6,B08C6H1GS6,https://BookHip.com/SFFGQV,https://www.bookbub.com/books/faerie-marked-fae-academy-for-halflings-book-1-by-brea-viragh,https://www.goodreads.com/book/show/55451233-faerie-marked,
FAERIE GIFT,Fae Academy for Halflings Book 2,https://books2read.com/FaerieGift,https://www.amazon.com/dp/B08CJZK54K,B08CJZK54K,https://BookHip.com/CKSVMM,https://www.bookbub.com/books/faerie-gift-fae-academy-for-halflings-book-2-by-brea-viragh,https://www.goodreads.com/book/show/56096140-faerie-gift,
FAERIE PROPHECY,Fae Academy for Halflings Book 3,https://books2read.com/FaerieProphecy,https://www.amazon.com/dp/B08CR2WXCD,B08CR2WXCD,https://BookHip.com/BQPCTV,https://www.bookbub.com/books/faerie-prophecy-fae-academy-for-halflings-book-3-by-brea-viragh,https://www.goodreads.com/book/show/56193326-faerie-prophecy,
FAERIE TRIALS,Fae Academy for Halflings Book 4,https://books2read.com/FaerieTrials,https://www.amazon.com/dp/B08NYX78C5,B08NYX78C5,,https://www.bookbub.com/books/faerie-trials-fae-academy-for-halflings-book-4-by-brea-viragh,https://www.goodreads.com/book/show/56864392-faerie-trials,
FAERIE OATH,Fae Academy for Halflings Book 5,,,,,,,
FAERIE HUNTED,Fae Academy for Halflings Book 6,,,,,,,
FAERIE FATE,Fae Academy for Halflings Book 7,,,,,,,
FAERIE WARRIOR,Fae Academy for Halflings Book 8,,,,,,,
MIDNIGHT SKIES,,,,,https://dl.bookfunnel.com/8yaiyd9793,,,
LUCKY SHOT,Minnesota Raiders Novel (Prequel),,,,https://BookHip.com/JBJQTTS,,,
